audit_id,customer_id,operation,field_name,old_value,new_value,changed_by,change_timestamp
1,CUST100711,INSERT,email,OLD,NEW,batch_job,2025-01-04
2,CUST100038,UPDATE,kyc_status,OLD,NEW,crm_user,2025-03-04
3,CUST100916,INSERT,mobile_number,OLD,NEW,mobile_app,2025-05-07
4,CUST100806,DELETE,city,OLD,NEW,batch_job,2025-03-29
5,CUST100407,UPDATE,mobile_number,OLD,NEW,crm_user,2025-01-14
6,CUST100266,INSERT,risk_segment,OLD,NEW,mobile_app,2025-03-07
7,CUST100883,UPDATE,risk_segment,OLD,NEW,batch_job,2025-06-20
8,CUST100781,DELETE,kyc_status,OLD,NEW,batch_job,2025-06-27
9,CUST100601,INSERT,mobile_number,OLD,NEW,batch_job,2025-02-10
10,CUST100551,MERGE,risk_segment,OLD,NEW,crm_user,2025-04-04
11,CUST100674,DELETE,city,OLD,NEW,batch_job,2025-03-21
12,CUST100447,DELETE,city,OLD,NEW,batch_job,2025-03-27
13,CUST100782,INSERT,mobile_number,OLD,NEW,crm_user,2025-05-09
14,CUST100412,UPDATE,kyc_status,OLD,NEW,batch_job,2025-01-24
15,CUST100542,INSERT,city,OLD,NEW,crm_user,2025-05-31
16,CUST100086,MERGE,risk_segment,OLD,NEW,crm_user,2025-03-19
17,CUST100477,INSERT,kyc_status,OLD,NEW,mobile_app,2025-02-09
18,CUST100798,DELETE,mobile_number,OLD,NEW,batch_job,2025-03-14
19,CUST100297,INSERT,kyc_status,OLD,NEW,mobile_app,2025-04-20
20,CUST101036,UPDATE,kyc_status,OLD,NEW,mobile_app,2025-05-26
21,CUST100033,UPDATE,risk_segment,OLD,NEW,batch_job,2025-01-11
22,CUST100273,DELETE,risk_segment,OLD,NEW,crm_user,2025-04-26
23,CUST100104,INSERT,kyc_status,OLD,NEW,mobile_app,2025-03-04
24,CUST101003,DELETE,risk_segment,OLD,NEW,crm_user,2025-01-18
25,CUST101031,INSERT,kyc_status,OLD,NEW,batch_job,2025-05-02
26,CUST100517,INSERT,email,OLD,NEW,batch_job,2025-02-22
27,CUST100473,MERGE,mobile_number,OLD,NEW,crm_user,2025-01-20
28,CUST100982,DELETE,risk_segment,OLD,NEW,mobile_app,2025-06-11
29,CUST100407,INSERT,kyc_status,OLD,NEW,batch_job,2025-03-26
30,CUST100521,DELETE,kyc_status,OLD,NEW,mobile_app,2025-02-04
31,CUST100026,MERGE,risk_segment,OLD,NEW,crm_user,2025-03-10
32,CUST100204,UPDATE,mobile_number,OLD,NEW,crm_user,2025-05-13
33,CUST100585,MERGE,mobile_number,OLD,NEW,crm_user,2025-01-31
34,CUST100409,DELETE,risk_segment,OLD,NEW,crm_user,2025-01-05
35,CUST100594,MERGE,risk_segment,OLD,NEW,mobile_app,2025-04-26
36,CUST100551,MERGE,city,OLD,NEW,batch_job,2025-01-20
37,CUST100185,UPDATE,kyc_status,OLD,NEW,crm_user,2025-04-03
38,CUST100272,DELETE,risk_segment,OLD,NEW,mobile_app,2025-04-04
39,CUST100474,MERGE,mobile_number,OLD,NEW,crm_user,2025-01-07
40,CUST100326,INSERT,mobile_number,OLD,NEW,mobile_app,2025-04-26
41,CUST100831,DELETE,city,OLD,NEW,crm_user,2025-03-30
42,CUST100771,DELETE,risk_segment,OLD,NEW,crm_user,2025-01-01
43,CUST100665,DELETE,mobile_number,OLD,NEW,batch_job,2025-02-20
44,CUST100025,DELETE,email,OLD,NEW,crm_user,2025-01-17
45,CUST100805,MERGE,kyc_status,OLD,NEW,batch_job,2025-04-03
46,CUST100877,DELETE,risk_segment,OLD,NEW,crm_user,2025-01-27
47,CUST100106,DELETE,city,OLD,NEW,batch_job,2025-03-10
48,CUST100894,DELETE,city,OLD,NEW,crm_user,2025-04-20
49,CUST100060,MERGE,kyc_status,OLD,NEW,mobile_app,2025-02-22
50,CUST100166,INSERT,mobile_number,OLD,NEW,crm_user,2025-06-07
51,CUST100284,DELETE,mobile_number,OLD,NEW,batch_job,2025-05-21
52,CUST100261,UPDATE,mobile_number,OLD,NEW,crm_user,2025-03-29
53,CUST100578,DELETE,email,OLD,NEW,mobile_app,2025-06-17
54,CUST100533,MERGE,city,OLD,NEW,crm_user,2025-05-04
55,CUST100808,INSERT,city,OLD,NEW,mobile_app,2025-02-11
56,CUST100154,UPDATE,kyc_status,OLD,NEW,crm_user,2025-05-21
57,CUST100451,MERGE,email,OLD,NEW,crm_user,2025-04-20
58,CUST100286,UPDATE,city,OLD,NEW,batch_job,2025-02-14
59,CUST100701,INSERT,email,OLD,NEW,batch_job,2025-04-05
60,CUST100530,UPDATE,risk_segment,OLD,NEW,mobile_app,2025-04-16
61,CUST100785,MERGE,kyc_status,OLD,NEW,batch_job,2025-04-07
62,CUST100554,DELETE,risk_segment,OLD,NEW,crm_user,2025-03-13
63,CUST100738,UPDATE,kyc_status,OLD,NEW,mobile_app,2025-06-11
64,CUST100443,INSERT,email,OLD,NEW,batch_job,2025-04-09
65,CUST100819,MERGE,mobile_number,OLD,NEW,crm_user,2025-01-06
66,CUST100261,INSERT,mobile_number,OLD,NEW,mobile_app,2025-05-02
67,CUST101004,INSERT,risk_segment,OLD,NEW,crm_user,2025-05-16
68,CUST100959,MERGE,city,OLD,NEW,batch_job,2025-02-27
69,CUST100317,UPDATE,kyc_status,OLD,NEW,mobile_app,2025-01-28
70,CUST100937,INSERT,kyc_status,OLD,NEW,batch_job,2025-01-01
71,CUST100258,UPDATE,kyc_status,OLD,NEW,batch_job,2025-06-15
72,CUST100623,UPDATE,email,OLD,NEW,mobile_app,2025-06-12
73,CUST100896,INSERT,risk_segment,OLD,NEW,batch_job,2025-03-18
74,CUST100393,MERGE,email,OLD,NEW,batch_job,2025-06-03
75,CUST100003,INSERT,kyc_status,OLD,NEW,crm_user,2025-04-28
76,CUST100571,DELETE,city,OLD,NEW,crm_user,2025-05-15
77,CUST100481,UPDATE,risk_segment,OLD,NEW,crm_user,2025-06-30
78,CUST100630,INSERT,risk_segment,OLD,NEW,batch_job,2025-05-08
79,CUST100861,INSERT,email,OLD,NEW,batch_job,2025-06-20
80,CUST100870,DELETE,city,OLD,NEW,crm_user,2025-01-09
81,CUST100693,MERGE,email,OLD,NEW,mobile_app,2025-04-12
82,CUST100406,INSERT,email,OLD,NEW,mobile_app,2025-05-10
83,CUST100139,UPDATE,mobile_number,OLD,NEW,batch_job,2025-03-21
84,CUST100398,UPDATE,mobile_number,OLD,NEW,batch_job,2025-03-09
85,CUST100605,INSERT,kyc_status,OLD,NEW,crm_user,2025-06-06
86,CUST100384,UPDATE,mobile_number,OLD,NEW,crm_user,2025-06-20
