cdr_id,subscriber_id,call_timestamp,call_type,duration_seconds,tower_circle,network_type,ingestion_batch
CDR000001,SUB00912,2025-04-22 04:13:00,Data,1873,Punjab,4G,BATCH_2
CDR000002,SUB00738,2025-02-19 20:22:00,SMS,838,UP West,3G,BATCH_1
CDR000003,SUB00062,2025-03-13 04:07:00,SMS,1888,Bihar,3G,BATCH_2
CDR000004,SUB00303,2025-06-04 05:50:00,Data,2514,Punjab,5G,BATCH_3
CDR000005,SUB00089,2025-04-16 16:31:00,Voice,2433,Assam,4G,BATCH_2
CDR000005,SUB00089,2025-04-16 16:31:00,Voice,2433,Assam,4G,BATCH_4
CDR000006,SUB00439,2025-03-05 07:20:00,SMS,2383,Gujarat,5G,BATCH_1
CDR000007,SUB00920,2025-01-02 13:02:00,Voice,1937,North East,3G,BATCH_2
CDR000008,SUB00491,2025-06-28 03:28:00,SMS,995,Karnataka,5G,BATCH_1
CDR000009,SUB00417,2025-02-25 04:22:00,SMS,989,Telangana,3G,BATCH_1
CDR000010,SUB00313,2025-02-11 22:29:00,Data,3070,Himachal Pradesh,3G,BATCH_2
CDR000011,SUB00142,2025-06-30 12:11:00,SMS,2577,Odisha,5G,BATCH_3
CDR000011,SUB00142,2025-06-30 12:11:00,SMS,2577,Odisha,5G,BATCH_4
CDR000012,SUB00643,2025-01-19 12:57:00,Data,1373,North East,3G,BATCH_2
CDR000013,SUB00277,2025-06-28 19:34:00,Data,3264,Haryana,5G,BATCH_1
CDR000014,SUB00344,2025-01-15 16:58:00,Data,1500,Delhi,3G,BATCH_2
CDR000015,SUB00634,2025-01-11 11:23:00,Voice,2664,Jammu & Kashmir,5G,BATCH_1
CDR000016,SUB00793,2025-02-22 04:21:00,Voice,2220,Tamil Nadu,5G,BATCH_2
CDR000017,SUB00771,2025-05-29 22:13:00,Data,3126,Gujarat,4G,BATCH_2
CDR000018,SUB00516,2025-06-24 13:17:00,Voice,269,Madhya Pradesh,4G,BATCH_2
CDR000019,SUB00540,2025-02-01 15:45:00,Data,2788,Jammu & Kashmir,4G,BATCH_2
CDR000020,SUB00820,2025-06-22 22:51:00,Voice,781,Odisha,3G,BATCH_1
CDR000021,SUB00184,2025-03-15 02:06:00,Voice,1140,Tamil Nadu,5G,BATCH_1
CDR000022,SUB00896,2025-02-22 16:40:00,Voice,1210,Bihar,5G,BATCH_3
CDR000023,SUB00486,2025-03-30 13:28:00,Data,2650,Mumbai,4G,BATCH_1
CDR000024,SUB00893,2025-03-01 16:41:00,SMS,1696,Himachal Pradesh,4G,BATCH_3
CDR000025,SUB00335,2025-05-05 18:42:00,Data,2181,Jammu & Kashmir,4G,BATCH_2
CDR000026,SUB00136,2025-03-20 05:50:00,SMS,938,Assam,4G,BATCH_2
CDR000027,SUB00049,2025-02-07 11:18:00,SMS,691,Andhra Pradesh,3G,BATCH_3
CDR000028,SUB00187,2025-02-14 22:44:00,Data,3264,Kerala,3G,BATCH_1
CDR000029,SUB00325,2025-05-28 04:28:00,SMS,1524,Punjab,3G,BATCH_3
CDR000030,SUB00682,2025-03-23 11:09:00,SMS,1846,Jammu & Kashmir,3G,BATCH_3
CDR000031,SUB00943,2025-01-07 12:59:00,SMS,3157,Kerala,4G,BATCH_2
CDR000032,SUB00994,2025-05-20 16:21:00,Data,2899,UP East,4G,BATCH_2
CDR000033,SUB00773,2025-05-27 21:09:00,Data,2994,Odisha,4G,BATCH_3
CDR000034,SUB00491,2025-01-11 04:43:00,Data,488,UP East,3G,BATCH_2
CDR000035,SUB00226,2025-04-25 11:05:00,SMS,235,Andhra Pradesh,5G,BATCH_1
CDR000036,SUB00228,2025-03-13 06:01:00,Voice,2215,Odisha,5G,BATCH_3
CDR000037,SUB01000,2025-05-12 12:12:00,SMS,1311,Andhra Pradesh,5G,BATCH_3
CDR000038,SUB00931,2025-06-20 11:25:00,Voice,2942,Bihar,4G,BATCH_2
CDR000039,SUB00292,2025-03-30 11:19:00,SMS,3591,Jammu & Kashmir,3G,BATCH_1
CDR000040,SUB00455,2025-04-17 14:18:00,Voice,3310,Bihar,5G,BATCH_2
CDR000041,SUB00602,2025-06-03 02:09:00,Voice,1252,Assam,5G,BATCH_2
CDR000042,SUB00984,2025-06-01 12:05:00,Voice,1687,Telangana,4G,BATCH_2
CDR000043,SUB00474,2025-05-26 04:12:00,Voice,3419,West Bengal,4G,BATCH_3
CDR000044,SUB00843,2025-03-19 18:19:00,SMS,2300,Odisha,3G,BATCH_1
CDR000045,SUB00158,2025-03-09 09:40:00,Data,1945,Tamil Nadu,5G,BATCH_3
CDR000046,SUB00428,2025-02-15 15:58:00,Data,2651,Gujarat,3G,BATCH_1
CDR000047,SUB00505,2025-01-18 19:47:00,SMS,2390,Assam,5G,BATCH_2
CDR000048,SUB00644,2025-06-25 15:44:00,Voice,1538,North East,5G,BATCH_3
CDR000048,SUB00644,2025-06-25 15:44:00,Voice,1538,North East,5G,BATCH_4
CDR000049,SUB00266,2025-02-11 18:03:00,Voice,1319,Odisha,5G,BATCH_1
CDR000050,SUB00055,2025-03-11 11:26:00,Data,1468,Delhi,4G,BATCH_2
CDR000051,SUB00959,2025-01-20 16:12:00,Data,760,Tamil Nadu,5G,BATCH_1
CDR000052,SUB00894,2025-03-22 21:51:00,SMS,1121,Maharashtra,5G,BATCH_3
CDR000053,SUB00548,2025-05-29 11:52:00,Voice,62,Kerala,5G,BATCH_2
CDR000054,SUB00497,2025-04-16 10:58:00,Voice,429,Haryana,3G,BATCH_3
CDR000055,SUB00193,2025-05-24 19:44:00,Data,3475,Jammu & Kashmir,5G,BATCH_3
CDR000056,SUB00822,2025-01-30 13:29:00,Voice,487,Kerala,3G,BATCH_2
CDR000057,SUB00708,2025-04-03 04:52:00,SMS,2457,North East,4G,BATCH_1
CDR000058,SUB00030,2025-01-31 07:08:00,Data,593,Gujarat,4G,BATCH_1
CDR000059,SUB00081,2025-04-19 22:48:00,Voice,328,Mumbai,4G,BATCH_2
CDR000059,SUB00081,2025-04-19 22:48:00,Voice,328,Mumbai,4G,BATCH_4
CDR000060,SUB00111,2025-01-09 21:32:00,Data,252,Assam,3G,BATCH_2
CDR000060,SUB00111,2025-01-09 21:32:00,Data,252,Assam,3G,BATCH_4
CDR000061,SUB00309,2025-06-20 00:48:00,Voice,3214,Tamil Nadu,5G,BATCH_1
CDR000062,SUB00205,2025-02-17 21:22:00,Voice,381,Kerala,5G,BATCH_2
CDR000063,SUB00357,2025-04-01 05:54:00,Data,3208,Andhra Pradesh,3G,BATCH_3
CDR000064,SUB00102,2025-05-29 00:33:00,Voice,2941,Haryana,4G,BATCH_1
CDR000065,SUB00551,2025-01-02 23:06:00,Voice,2075,Assam,4G,BATCH_3
CDR000066,SUB00451,2025-06-22 03:11:00,SMS,1564,Bihar,3G,BATCH_3
CDR000067,SUB00116,2025-03-22 03:29:00,Voice,2138,Kerala,4G,BATCH_2
CDR000068,SUB00571,2025-01-11 02:20:00,SMS,483,West Bengal,4G,BATCH_2
CDR000069,SUB00320,2025-06-25 14:14:00,Data,1678,UP East,4G,BATCH_1
CDR000070,SUB00917,2025-05-02 21:23:00,Voice,62,Maharashtra,4G,BATCH_3
CDR000071,SUB00449,2025-05-14 21:43:00,Voice,498,Kerala,4G,BATCH_2
CDR000072,SUB00105,2025-02-13 02:23:00,Voice,1397,Haryana,5G,BATCH_2
CDR000073,SUB00859,2025-04-19 23:31:00,SMS,3142,Himachal Pradesh,5G,BATCH_2
CDR000074,SUB00821,2025-06-14 12:22:00,SMS,2740,Andhra Pradesh,4G,BATCH_2
CDR000075,SUB00151,2025-04-27 03:07:00,SMS,2014,Assam,3G,BATCH_3
CDR000076,SUB00031,2025-01-26 23:03:00,Voice,2050,Maharashtra,3G,BATCH_1
CDR000077,SUB00696,2025-03-25 04:19:00,Data,2562,Tamil Nadu,3G,BATCH_3
CDR000078,SUB00786,2025-05-07 14:12:00,SMS,2721,Assam,4G,BATCH_3
CDR000079,SUB00352,2025-05-19 17:01:00,Voice,1772,Tamil Nadu,4G,BATCH_2
CDR000080,SUB00386,2025-04-24 14:02:00,Voice,734,Jammu & Kashmir,5G,BATCH_2
CDR000081,SUB00169,2025-05-06 13:08:00,SMS,2941,West Bengal,4G,BATCH_1
CDR000082,SUB00503,2025-06-18 17:43:00,Data,2353,Assam,4G,BATCH_3
CDR000083,SUB00519,2025-01-15 12:16:00,SMS,2430,West Bengal,5G,BATCH_3
CDR000084,SUB00292,2025-03-24 01:01:00,Data,194,Kerala,4G,BATCH_2
CDR000085,SUB00598,2025-01-07 20:21:00,SMS,408,Bihar,4G,BATCH_2
CDR000086,SUB00058,2025-06-19 07:15:00,Voice,2664,UP East,5G,BATCH_1
CDR000087,SUB00068,2025-03-20 03:21:00,Voice,90,Jammu & Kashmir,4G,BATCH_1
CDR000088,SUB00885,2025-04-19 18:32:00,SMS,1102,Mumbai,5G,BATCH_2
CDR000089,SUB00325,2025-04-07 18:24:00,SMS,2355,Tamil Nadu,4G,BATCH_1
CDR000090,SUB00211,2025-03-28 15:32:00,Data,1400,Punjab,5G,BATCH_2
CDR000091,SUB00447,2025-02-21 15:40:00,Voice,3452,Jammu & Kashmir,3G,BATCH_2
CDR000092,SUB00305,2025-05-27 12:51:00,Voice,2568,Karnataka,5G,BATCH_3
CDR000093,SUB00345,2025-03-11 02:36:00,Data,1956,Bihar,3G,BATCH_2
CDR000094,SUB00668,2025-03-19 16:51:00,SMS,1783,Maharashtra,5G,BATCH_2
CDR000095,SUB00412,2025-03-06 19:32:00,SMS,2760,Jammu & Kashmir,3G,BATCH_1
CDR000096,SUB00529,2025-02-17 18:31:00,Voice,2716,Odisha,4G,BATCH_3
CDR000097,SUB00630,2025-04-22 18:46:00,Data,255,North East,3G,BATCH_2
CDR000098,SUB00247,2025-02-08 23:43:00,SMS,3467,Bihar,4G,BATCH_2
CDR000099,SUB00934,2025-01-17 20:13:00,SMS,1103,UP East,5G,BATCH_1
CDR000100,SUB00616,2025-03-02 12:15:00,Voice,624,Haryana,3G,BATCH_1
CDR000101,SUB00318,2025-04-29 15:35:00,SMS,1738,Telangana,3G,BATCH_1
CDR000102,SUB00140,2025-01-08 08:50:00,SMS,2707,Jammu & Kashmir,3G,BATCH_3
CDR000103,SUB00987,2025-05-05 00:03:00,Voice,1295,Andhra Pradesh,4G,BATCH_1
CDR000104,SUB00417,2025-04-04 21:42:00,Voice,1635,Kerala,3G,BATCH_1
CDR000105,SUB00513,2025-01-31 16:42:00,Data,3184,North East,4G,BATCH_2
CDR000106,SUB00244,2025-06-03 03:49:00,SMS,1358,Himachal Pradesh,5G,BATCH_2
CDR000107,SUB00762,2025-03-02 13:13:00,Voice,447,Punjab,3G,BATCH_2
CDR000108,SUB00261,2025-05-31 01:31:00,Data,1544,Tamil Nadu,4G,BATCH_3
CDR000109,SUB00700,2025-03-05 08:56:00,Voice,1496,Assam,5G,BATCH_2
CDR000110,SUB00022,2025-06-15 19:02:00,Data,2722,Delhi,5G,BATCH_3
CDR000111,SUB00566,2025-04-09 09:40:00,Data,1496,Maharashtra,3G,BATCH_3
CDR000112,SUB00879,2025-04-24 12:00:00,SMS,1056,UP East,3G,BATCH_1
CDR000113,SUB00881,2025-02-11 14:40:00,SMS,3336,Telangana,4G,BATCH_1
CDR000114,SUB00083,2025-05-06 15:47:00,SMS,3455,UP West,5G,BATCH_2
CDR000115,SUB00840,2025-01-26 05:44:00,SMS,2083,Karnataka,4G,BATCH_2
CDR000116,SUB00833,2025-05-21 23:20:00,SMS,2857,Mumbai,3G,BATCH_3
CDR000117,SUB00646,2025-04-24 20:08:00,Voice,1651,Haryana,5G,BATCH_2
CDR000118,SUB00085,2025-01-29 05:15:00,Data,2932,Telangana,3G,BATCH_3
CDR000119,SUB00812,2025-03-23 14:30:00,Data,556,Rajasthan,3G,BATCH_3
CDR000120,SUB00336,2025-03-14 06:05:00,SMS,1515,Punjab,4G,BATCH_2
CDR000121,SUB00906,2025-05-27 07:01:00,Voice,2297,Telangana,5G,BATCH_3
CDR000122,SUB00092,2025-04-29 06:16:00,Data,3499,Punjab,3G,BATCH_2
CDR000123,SUB00615,2025-03-08 04:05:00,SMS,706,Himachal Pradesh,3G,BATCH_1
