txn_id,subscriber_id,txn_timestamp,amount,channel,payment_status
TXN000001,SUB00952,2025-01-28 17:00:00,249,Retailer,SUCCESS
TXN000002,SUB00800,2025-02-28 07:00:00,399,UPI,SUCCESS
TXN000003,SUB00204,2025-01-03 08:00:00,149,Card,SUCCESS
TXN000004,SUB00833,2025-02-26 22:00:00,299,Card,SUCCESS
TXN000005,SUB00678,2025-05-26 12:00:00,99,Card,SUCCESS
TXN000006,SUB00028,2025-06-06 23:00:00,399,Card,SUCCESS
TXN000007,SUB00017,2025-03-08 00:00:00,99,Wallet,SUCCESS
TXN000008,SUB00794,2025-05-20 13:00:00,249,Retailer,FAILED
TXN000009,SUB00311,2025-04-30 01:00:00,499,Retailer,FAILED
TXN000010,SUB00157,2025-04-10 01:00:00,399,Card,SUCCESS
TXN000011,SUB00323,2025-05-03 23:00:00,299,Retailer,SUCCESS
TXN000012,SUB00208,2025-04-16 16:00:00,99,Wallet,SUCCESS
TXN000013,SUB00995,2025-05-05 06:00:00,299,UPI,FAILED
TXN000014,SUB00794,2025-05-15 04:00:00,149,Card,SUCCESS
TXN000015,SUB00578,2025-04-28 00:00:00,99,Card,SUCCESS
TXN000016,SUB00476,2025-05-08 01:00:00,399,Retailer,SUCCESS
TXN000017,SUB00102,2025-05-15 22:00:00,249,Card,SUCCESS
TXN000018,SUB00004,2025-05-25 16:00:00,399,Retailer,SUCCESS
TXN000019,SUB00414,2025-04-28 16:00:00,399,Card,FAILED
TXN000020,SUB00665,2025-06-16 02:00:00,249,Retailer,SUCCESS
TXN000021,SUB00015,2025-04-07 12:00:00,499,UPI,SUCCESS
TXN000022,SUB00499,2025-05-31 01:00:00,199,Card,SUCCESS
TXN000023,SUB00176,2025-05-20 21:00:00,199,Retailer,SUCCESS
TXN000024,SUB00516,2025-01-06 13:00:00,299,UPI,FAILED
TXN000025,SUB00461,2025-06-02 04:00:00,149,Wallet,SUCCESS
TXN000026,SUB00682,2025-06-06 19:00:00,499,Retailer,FAILED
TXN000027,SUB00454,2025-01-03 06:00:00,99,UPI,FAILED
TXN000028,SUB00064,2025-05-16 06:00:00,199,UPI,FAILED
TXN000029,SUB00560,2025-03-30 23:00:00,199,Wallet,FAILED
TXN000030,SUB00467,2025-05-22 18:00:00,99,Wallet,FAILED
TXN000031,SUB00253,2025-02-19 08:00:00,249,Wallet,FAILED
TXN000032,SUB00387,2025-06-27 14:00:00,399,Card,SUCCESS
TXN000033,SUB00062,2025-02-16 03:00:00,149,UPI,FAILED
TXN000034,SUB00517,2025-06-26 00:00:00,249,Retailer,FAILED
TXN000035,SUB00745,2025-04-17 09:00:00,99,Wallet,FAILED
TXN000036,SUB00621,2025-05-28 15:00:00,399,Wallet,SUCCESS
TXN000037,SUB00656,2025-01-07 16:00:00,249,UPI,FAILED
